BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946826,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946833,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946912,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946970,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946565,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946572,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946577,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946579,Pteruthius melanotis,PRJNA545868
SAMN12253969,SAMN12253969,GCA_013401235.1,SRR9946628,Pteruthius melanotis,PRJNA545868
